"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Total Dutch airports";"1999 January";36810;14868;33145;31222;2439980;90604;
"Total Dutch airports";"1999 February";34356;11314;30912;29015;2405830;97527;
"Total Dutch airports";"1999 March";41290;18152;35591;33278;2905023;111940;
"Total Dutch airports";"1999 April";41338;18043;35832;33114;2983754;100280;
"Total Dutch airports";"1999 May";44679;18932;38376;34138;3399339;100009;
"Total Dutch airports";"1999 June";44664;19476;37971;33966;3357773;95558;
"Total Dutch airports";"1999 July";46107;18988;39824;34940;3753435;98533;
"Total Dutch airports";"1999 August";45084;18732;39908;34910;3850371;92694;
"Total Dutch airports";"1999 September";44734;18298;38969;34641;3610066;97920;
"Total Dutch airports";"1999 October";44734;15909;39553;35589;3577374;110933;
"Total Dutch airports";"1999 November";41721;15551;37387;35175;2889913;110855;
"Total Dutch airports";"1999 December";38258;10401;35119;33105;2531172;111716;
"Total Dutch airports";"2000 January";40054;11453;36446;34406;2563382;96348;
"Total Dutch airports";"2000 February";40602;13621;36041;33968;2641094;105425;
"Total Dutch airports";"2000 March";43728;16187;38790;36251;3162563;114874;
"Total Dutch airports";"2000 April";43812;17560;38281;34964;3326762;104199;
"Total Dutch airports";"2000 May";47975;17011;41972;37136;3706883;101166;
"Total Dutch airports";"2000 June";46890;15620;40483;35712;3661177;99010;
"Total Dutch airports";"2000 July";47051;14172;42092;36620;4121196;101607;
"Total Dutch airports";"2000 August";47748;18232;42255;36766;4096727;97492;
"Total Dutch airports";"2000 September";45797;15208;40476;35647;3897872;106088;
"Total Dutch airports";"2000 October";45629;13120;41254;36673;3803796;113536;
"Total Dutch airports";"2000 November";41583;16242;37280;34848;3004146;112475;
"Total Dutch airports";"2000 December";38626;11226;35192;32999;2783392;115491;
"Total Dutch airports";"2001 January";40679;10214;37077;34845;2780249;97733;
"Total Dutch airports";"2001 February";38034;10797;34265;32071;2667331;102591;
"Total Dutch airports";"2001 March";43282;13544;38876;36110;3255834;114783;
"Total Dutch airports";"2001 April";42412;15688;37447;34255;3457934;100397;
"Total Dutch airports";"2001 May";47094;15095;41159;36385;3782078;97772;
"Total Dutch airports";"2001 June";45878;13229;40153;35576;3841225;96128;
"Total Dutch airports";"2001 July";47572;12549;42528;36917;4278757;91261;
"Total Dutch airports";"2001 August";47484;13644;42681;37023;4246834;90686;
"Total Dutch airports";"2001 September";44851;10560;40643;35608;3719690;97792;
"Total Dutch airports";"2001 October";45296;12690;40724;36157;3376995;108848;
"Total Dutch airports";"2001 November";38072;10461;34054;32177;2730083;109989;
"Total Dutch airports";"2001 December";35575;7612;32587;30905;2652554;109453;
"Total Dutch airports";"2002 January";37212;8928;33955;32146;2636649;93945;
"Total Dutch airports";"2002 February";34855;8678;31396;29608;2667372;98750;
"Total Dutch airports";"2002 March";41176;14042;35638;33337;3249398;119043;
"Total Dutch airports";"2002 April";41507;12703;36474;33329;3411882;104776;
"Total Dutch airports";"2002 May";44640;13448;39387;34861;3863240;103262;
"Total Dutch airports";"2002 June";43941;13563;38233;33796;3814245;106735;
"Total Dutch airports";"2002 July";45846;13125;40619;35470;4289281;101600;
"Total Dutch airports";"2002 August";44950;14138;40340;35108;4276395;99358;
"Total Dutch airports";"2002 September";44673;16984;38856;34233;4020765;105240;
"Total Dutch airports";"2002 October";43582;9464;39325;34906;3862884;114079;
"Total Dutch airports";"2002 November";38583;8584;34675;32455;2977998;121637;
"Total Dutch airports";"2002 December";35354;5296;32695;30618;2912646;111747;
"Total Dutch airports";"2003 January";35932;8191;32975;31045;2813139;99496;3767
"Total Dutch airports";"2003 February";34626;8495;31210;29229;2741087;104992;3844
"Total Dutch airports";"2003 March";40119;9247;35283;32835;3099952;124255;4065
"Total Dutch airports";"2003 April";38602;10134;34247;31111;3108279;108258;4290
"Total Dutch airports";"2003 May";41720;11376;37126;32529;3553181;106940;4061
"Total Dutch airports";"2003 June";41570;10225;36582;32317;3695057;104939;3607
"Total Dutch airports";"2003 July";43508;10464;39230;33562;4244484;105896;3498
"Total Dutch airports";"2003 August";42849;9868;38672;33216;4194993;107287;3459
"Total Dutch airports";"2003 September";42559;10467;37886;33222;3898022;110783;3506
"Total Dutch airports";"2003 October";42263;9217;38118;33547;3915075;122139;3829
"Total Dutch airports";"2003 November";37111;6491;33627;31001;3067998;125823;4210
"Total Dutch airports";"2003 December";34749;5798;31880;29418;2932855;120480;5470
"Total Dutch airports";"2004 January";34596;5189;32016;29768;2818427;103296;3722
"Total Dutch airports";"2004 February";35051;5907;31900;29414;2922639;117121;3632
"Total Dutch airports";"2004 March";40590;6874;35825;33075;3382340;129924;3796
"Total Dutch airports";"2004 April";40489;7376;35818;32596;3657936;118589;3428
"Total Dutch airports";"2004 May";44369;8288;39208;34045;4076485;118062;3463
"Total Dutch airports";"2004 June";43337;8203;38581;33889;4008925;113597;3496
"Total Dutch airports";"2004 July";44879;8357;40367;35011;4565684;117161;3764
"Total Dutch airports";"2004 August";43876;7993;40033;34705;4483625;112893;3479
"Total Dutch airports";"2004 September";43915;8232;38946;34576;4153659;119657;3830
"Total Dutch airports";"2004 October";44602;7540;40144;35129;4155554;136562;4000
"Total Dutch airports";"2004 November";38044;5686;34764;32213;3247807;140446;3893
"Total Dutch airports";"2004 December";36228;4329;33328;30862;3102830;138744;5586
"Total Dutch airports";"2005 January";36010;5382;32890;30405;3082853;120324;3834
"Total Dutch airports";"2005 February";34287;5645;31171;28660;2960333;118113;3647
"Total Dutch airports";"2005 March";38732;5164;34811;32033;3442365;130257;3903
"Total Dutch airports";"2005 April";41483;6386;36879;33688;3735323;125510;3714
"Total Dutch airports";"2005 May";44864;6854;40339;35227;4328422;117986;3763
"Total Dutch airports";"2005 June";44337;8255;39112;34748;4196547;118316;3328
"Total Dutch airports";"2005 July";44977;7624;40765;35244;4795477;122075;3288
"Total Dutch airports";"2005 August";44907;8163;40730;35315;4695502;117573;3284
"Total Dutch airports";"2005 September";43757;6667;39298;34695;4377505;122566;3631
"Total Dutch airports";"2005 October";43772;6903;39653;34973;4297973;135934;3982
"Total Dutch airports";"2005 November";37810;4673;34418;32216;3362422;138394;4123
"Total Dutch airports";"2005 December";35240;4040;32387;30341;3213586;137999;5566
"Total Dutch airports";"2006 January";36657;6415;33363;31223;3167956;118780;3478
"Total Dutch airports";"2006 February";34127;5071;31463;29299;3001753;117907;3326
"Total Dutch airports";"2006 March";40551;6820;36570;34332;3571343;142932;3465
"Total Dutch airports";"2006 April";41853;7355;38031;35065;3990145;132200;3222
"Total Dutch airports";"2006 May";46944;7132;42459;37037;4472259;125666;3115
"Total Dutch airports";"2006 June";46830;7947;41764;36572;4487988;127958;2892
"Total Dutch airports";"2006 July";47696;7778;43278;37035;5021544;127718;3015
"Total Dutch airports";"2006 August";46340;7072;43024;37144;4877589;124368;3045
"Total Dutch airports";"2006 September";46388;8104;41588;36464;4563348;135241;3077
"Total Dutch airports";"2006 October";46706;6709;42396;37949;4452338;144734;3552
"Total Dutch airports";"2006 November";41776;6105;37942;35819;3535989;142320;3669
"Total Dutch airports";"2006 December";38284;4448;35454;33319;3454304;141481;4465
"Total Dutch airports";"2007 January";38938;5405;35860;33924;3331523;120471;3211
"Total Dutch airports";"2007 February";37363;6336;34110;32124;3213977;123422;3011
"Total Dutch airports";"2007 March";43894;7268;39102;36663;3896807;145829;3409
"Total Dutch airports";"2007 April";44544;8646;39584;36607;4121803;134572;3121
"Total Dutch airports";"2007 May";47788;8211;43408;38550;4566599;132156;3295
"Total Dutch airports";"2007 June";46757;7617;42247;37941;4529566;140265;3281
"Total Dutch airports";"2007 July";48188;7562;44096;38542;5172312;137771;3107
"Total Dutch airports";"2007 August";48354;8575;44083;38371;5121598;134035;3199
"Total Dutch airports";"2007 September";46720;8823;41815;37329;4713449;144016;3318
"Total Dutch airports";"2007 October";47439;9159;42668;38448;4656638;151905;3650
"Total Dutch airports";"2007 November";40572;7331;37079;35052;3647578;155791;3806
"Total Dutch airports";"2007 December";38444;5267;35454;33343;3545823;148440;4695
"Total Dutch airports";"2008 January";39375;7026;35963;34178;3388686;129862;3064
"Total Dutch airports";"2008 February";38529;7524;34673;32682;3348700;134264;2916
"Total Dutch airports";"2008 March";42020;7275;37967;35708;3973721;151952;3029
"Total Dutch airports";"2008 April";44762;10482;40127;37150;4156519;143191;2982
"Total Dutch airports";"2008 May";48260;9569;43416;38719;4713826;137242;2764
"Total Dutch airports";"2008 June";47627;9530;42659;38020;4704148;136993;2636
"Total Dutch airports";"2008 July";48596;10899;44164;38490;5175950;134431;2680
"Total Dutch airports";"2008 August";46873;9991;43134;37608;5025767;132523;2541
"Total Dutch airports";"2008 September";46873;9660;41827;37535;4600637;133486;2506
"Total Dutch airports";"2008 October";46155;8539;42188;38230;4560314;140120;2796
"Total Dutch airports";"2008 November";37594;6936;34683;32902;3443549;137521;3125
"Total Dutch airports";"2008 December";35284;6420;32762;31114;3333873;112193;3835
"Total Dutch airports";"2009 January";35197;7622;32441;30933;3072606;94256;2701
"Total Dutch airports";"2009 February";32926;6988;30076;28591;2891262;99047;2357
"Total Dutch airports";"2009 March";38434;10337;34246;32623;3390581;109761;2641
"Total Dutch airports";"2009 April";40492;9915;36224;33961;3888685;102160;2505
"Total Dutch airports";"2009 May";43098;9793;38787;35101;4173577;104792;2432
"Total Dutch airports";"2009 June";42370;9742;37849;34436;4130139;104341;2386
"Total Dutch airports";"2009 July";44471;11080;40351;35237;4851476;112430;2254
"Total Dutch airports";"2009 August";44140;11723;39865;34738;4811406;113034;2163
"Total Dutch airports";"2009 September";42252;10006;37832;34138;4322719;114197;2441
"Total Dutch airports";"2009 October";41718;8332;37867;34440;4274814;127876;2564
"Total Dutch airports";"2009 November";35808;8317;32681;31134;3355439;135199;2738
"Total Dutch airports";"2009 December";33606;6565;30910;29338;3293039;123663;3564
"Total Dutch airports";"2010 January";33656;5450;31321;29868;3114971;112578;2494
"Total Dutch airports";"2010 February";32450;7340;29857;28276;3049444;117104;1994
"Total Dutch airports";"2010 March";39349;9051;34472;32697;3697355;139703;2229
"Total Dutch airports";"2010 April";33458;10566;29353;27241;3213665;114961;1995
"Total Dutch airports";"2010 May";43040;11006;38552;34022;4447089;134222;2202
"Total Dutch airports";"2010 June";43621;12713;38344;34331;4442139;128390;1997
"Total Dutch airports";"2010 July";46025;9244;41196;35340;5119203;134197;1922
"Total Dutch airports";"2010 August";44925;8678;40955;35223;5058056;135963;1830
"Total Dutch airports";"2010 September";43256;9057;38706;34496;4623783;135936;2077
"Total Dutch airports";"2010 October";43576;8894;39368;35273;4666071;146803;2160
"Total Dutch airports";"2010 November";37182;5051;34145;32091;3719403;143231;2325
"Total Dutch airports";"2010 December";33260;2926;31123;28985;3440349;131510;2654
"Total Dutch airports";"2011 January";36149;5530;32992;31244;3466587;127707;2096
"Total Dutch airports";"2011 February";33703;5643;30605;28977;3251624;117015;1723
"Total Dutch airports";"2011 March";40528;8953;35822;33908;3921482;143094;2001
"Total Dutch airports";"2011 April";43216;8701;38703;35961;4466794;137344;1944
"Total Dutch airports";"2011 May";46867;8877;42379;38406;4916693;136553;1988
"Total Dutch airports";"2011 June";45232;7885;41139;37300;4939490;126979;2103
"Total Dutch airports";"2011 July";47644;7546;43761;38406;5627276;135182;1960
"Total Dutch airports";"2011 August";47606;7227;43822;38468;5540569;131719;1859
"Total Dutch airports";"2011 September";46189;6929;41819;37575;5128892;127765;2020
"Total Dutch airports";"2011 October";45995;6689;42073;38159;5024163;140170;2213
"Total Dutch airports";"2011 November";37811;5701;34902;33121;3807138;133936;2637
"Total Dutch airports";"2011 December";36750;5072;34313;32818;3777434;131791;3337
"Total Dutch airports";"2012 January";37172;5996;34162;32638;3675761;113611;2233
"Total Dutch airports";"2012 February";35913;5203;33042;31430;3552136;123866;2032
"Total Dutch airports";"2012 March";41494;8021;37190;35381;4177498;136457;2255
"Total Dutch airports";"2012 April";42400;6144;38974;36501;4568847;127848;2055
"Total Dutch airports";"2012 May";46528;6448;42648;38644;5027940;128973;2179
"Total Dutch airports";"2012 June";45546;6815;41834;37790;5078079;126280;2230
"Total Dutch airports";"2012 July";48330;6443;44593;39238;5759003;130140;2206
"Total Dutch airports";"2012 August";48001;6653;44353;39015;5671424;124791;2129
"Total Dutch airports";"2012 September";45437;5837;41799;37618;5239374;129588;2204
"Total Dutch airports";"2012 October";45218;5895;42082;38327;5100023;130676;2525
"Total Dutch airports";"2012 November";37479;5482;34833;33037;3944666;132646;2884
"Total Dutch airports";"2012 December";34929;3007;33071;31430;3858569;131178;3443
"Total Dutch airports";"2013 January";35495;4109;33360;31828;3670053;120433;2660
"Total Dutch airports";"2013 February";34301;3888;31936;30270;3563751;118044;2312
"Total Dutch airports";"2013 March";40411;4954;36854;34939;4341934;142318;2853
"Total Dutch airports";"2013 April";43252;3938;40217;37716;4779391;127954;2773
"Total Dutch airports";"2013 May";47538;5770;44108;40125;5440427;127328;2806
"Total Dutch airports";"2013 June";46372;5947;42758;38989;5404974;128607;2678
"Total Dutch airports";"2013 July";48804;6565;45286;40055;5934128;128687;2777
"Total Dutch airports";"2013 August";48339;6934;44963;39716;5942981;132412;2768
"Total Dutch airports";"2013 September";46776;5725;43316;39313;5477811;134087;2845
"Total Dutch airports";"2013 October";46264;5411;43084;39603;5288928;139685;3209
"Total Dutch airports";"2013 November";38601;4730;35980;34323;4099344;145838;3371
"Total Dutch airports";"2013 December";37056;3625;34930;33504;4103791;139776;3821
"Total Dutch airports";"2014 January";37193;3934;34913;33506;3937135;127785;2978
"Total Dutch airports";"2014 February";35387;5269;32831;31247;3770429;128099;2678
"Total Dutch airports";"2014 March";41687;5499;38006;36296;4489453;151894;3011
"Total Dutch airports";"2014 April";44148;5323;41042;38566;5075277;140058;2934
"Total Dutch airports";"2014 May";48262;5708;44684;41049;5618850;145390;2943
"Total Dutch airports";"2014 June";47657;5548;43941;40525;5642408;140033;2847
"Total Dutch airports";"2014 July";49626;5021;46402;41634;6070119;141058;3090
"Total Dutch airports";"2014 August";49253;4159;46479;41448;6261369;140056;3147
"Total Dutch airports";"2014 September";48213;4405;44912;41145;5802996;139834;3073
"Total Dutch airports";"2014 October";47610;5213;44688;41454;5609100;149520;3382
"Total Dutch airports";"2014 November";39545;5244;36888;35361;4321292;147319;3432
"Total Dutch airports";"2014 December";38181;2968;36238;34829;4334189;138932;3964
"Total Dutch airports";"2015 January";37288;3315;35424;34028;4067159;124315;3428
"Total Dutch airports";"2015 February";36279;4654;34013;32608;3975652;130082;2857
"Total Dutch airports";"2015 March";41870;5089;38723;37208;4651418;144166;2899
"Total Dutch airports";"2015 April";45402;5802;42263;40040;5318300;133041;2801
"Total Dutch airports";"2015 May";49852;4453;46525;42848;6064935;142064;2667
"Total Dutch airports";"2015 June";49435;4839;45459;42146;5971077;136586;2655
"Total Dutch airports";"2015 July";51055;4186;47783;43059;6568499;137417;2545
"Total Dutch airports";"2015 August";50728;4590;47532;42751;6606203;141268;2456
"Total Dutch airports";"2015 September";49021;4513;45886;42492;6115762;141601;2627
"Total Dutch airports";"2015 October";48396;5054;45332;42435;5940890;151020;2857
"Total Dutch airports";"2015 November";40513;3904;37962;36683;4697506;151993;2847
"Total Dutch airports";"2015 December";40542;3630;38065;36922;4657214;143898;3746
"Total Dutch airports";"2016 January";38706;3724;36709;35694;4487365;134104;3145
"Total Dutch airports";"2016 February";39249;3889;36774;35687;4510127;130919;2558
"Total Dutch airports";"2016 March";44730;4757;41451;40123;5249454;149453;3039
"Total Dutch airports";"2016 April";48235;5617;44736;42925;5837141;141790;2925
"Total Dutch airports";"2016 May";52417;5128;48862;46184;6408460;138669;2728
"Total Dutch airports";"2016 June";49996;5082;46549;44149;6203153;138570;2511
"Total Dutch airports";"2016 July";54325;5062;50742;47514;7074939;141877;2435
"Total Dutch airports";"2016 August";54209;4888;51075;47800;7115921;138553;2499
"Total Dutch airports";"2016 September";52167;4369;48782;46246;6572800;142275;2405
"Total Dutch airports";"2016 October";51719;4460;48802;46543;6445707;158146;2592
"Total Dutch airports";"2016 November";42990;4148;40403;39267;5162840;153148;2619
"Total Dutch airports";"2016 December";42450;3581;40357;39200;5211659;154732;2996
"Total Dutch airports";"2017 January";41818;3745;39687;38435;5024395;138095;2450
"Total Dutch airports";"2017 February";39643;3499;37318;36124;4787727;137217;2016
"Total Dutch airports";"2017 March";47259;5681;44013;42625;5717190;160462;2394
"Total Dutch airports";"2017 April";50101;5452;46977;45055;6525509;151822;2163
"Total Dutch airports";"2017 May";54835;5268;51232;48457;6988685;157477;2185
"Total Dutch airports";"2017 June";53066;5897;49591;46945;6904028;153580;2185
"Total Dutch airports";"2017 July";55376;5156;52112;48377;7532873;155395;2196
"Total Dutch airports";"2017 August";55506;4710;52466;48587;7608101;154070;1837
"Total Dutch airports";"2017 September";52814;4471;49841;46894;7044350;158331;1733
"Total Dutch airports";"2017 October";53107;5656;50259;47714;6975594;164135;2022
"Total Dutch airports";"2017 November";44419;4194;41970;40748;5657189;157107;2168
"Total Dutch airports";"2017 December";42194;2235;40319;39094;5437988;151448;2464
"Total Dutch airports";"2018 January";43441;3468;41247;40059;5410899;140371;2031
"Total Dutch airports";"2018 February";41665;4709;39014;37874;5237331;141012;1586
"Total Dutch airports";"2018 March";47967;4637;44687;43426;6151187;155354;1962
"Total Dutch airports";"2018 April";50660;5442;47362;45456;6730695;145390;1804
"Total Dutch airports";"2018 May";54882;5095;51151;48500;7261667;152516;1643
"Total Dutch airports";"2018 June";53590;4915;49764;47269;7233806;149711;1658
"Total Dutch airports";"2018 July";55894;5012;52126;49223;7691695;150971;1642
"Total Dutch airports";"2018 August";55373;4863;52326;49301;7786633;153929;1674
"Total Dutch airports";"2018 September";54154;4553;50660;48051;7294410;154496;1658
"Total Dutch airports";"2018 October";54754;5069;51475;49168;7262779;165457;1831
"Total Dutch airports";"2018 November";45353;4114;42585;41443;5802548;157948;1924
"Total Dutch airports";"2018 December";44363;2881;42149;41030;5742668;151800;2073
"Total Dutch airports";"2019 January";43492;3547;41285;40217;5495052;133445;1615
"Total Dutch airports";"2019 February";41972;3564;39204;38408;5352301;128322;1398
"Total Dutch airports";"2019 March";47712;3992;44649;43828;6270788;155427;1761
"Total Dutch airports";"2019 April";51400;4990;47934;46845;6926059;138159;1747
"Total Dutch airports";"2019 May";55561;4923;51719;50253;7396960;144540;1860
"Total Dutch airports";"2019 June";54113;4559;50135;48809;7471334;131970;1736
"Total Dutch airports";"2019 July";55398;4832;51786;50230;7730263;137391;1876
"Total Dutch airports";"2019 August";55321;4533;52127;50496;7859458;135263;1774
"Total Dutch airports";"2019 September";54336;4822;51091;49543;7486440;140637;1747
"Total Dutch airports";"2019 October";54417;5118;51135;49836;7354352;150127;1974
"Total Dutch airports";"2019 November";44911;3903;42195;41481;5885771;148037;2133
"Total Dutch airports";"2019 December";45000;3156;42771;42115;5938523;138385;2338
"Total Dutch airports";"2020 January";43913;3006;41768;41111;5595249;122254;1908
"Total Dutch airports";"2020 February";41559;3476;39299;38537;5281600;126726;1491
"Total Dutch airports";"2020 March";30705;4099;28306;27414;2773554;127995;1167
"Total Dutch airports";"2020 April";6093;1991;4759;4175;133752;103420;382
"Total Dutch airports";"2020 May";8781;4397;6556;5738;220120;117525;542
"Total Dutch airports";"2020 June";12305;6417;9336;8589;526544;121692;855
"Total Dutch airports";"2020 July";23209;7456;19701;18753;1690515;132684;1083
"Total Dutch airports";"2020 August";30641;6897;27575;26702;2242935;133168;1283
"Total Dutch airports";"2020 September";28850;7154;25290;24515;1547263;135059;1251
"Total Dutch airports";"2020 October";24471;6982;22028;21435;1303123;153109;1521
"Total Dutch airports";"2020 November";18585;6537;16283;15490;965071;157508;1511
"Total Dutch airports";"2020 December";19070;3243;17325;16271;1306018;146441;1837
"Total Dutch airports";"2021 January";17466;2134;15907;15129;909617;140859;1403
"Total Dutch airports";"2021 February";12995;3003;11528;10735;519827;137288;1109
"Total Dutch airports";"2021 March";15789;9371;13228;12287;676647;165377;1379
"Total Dutch airports";"2021 April";17967;8954;14891;14062;817876;152164;1258
"Total Dutch airports";"2021 May";20237;8649;16987;16267;1169673;158164;1223
"Total Dutch airports";"2021 June";25536;9299;21701;20885;1870330;145582;1128
"Total Dutch airports";"2021 July";37718;7338;33916;32642;3515159;138789;978
"Total Dutch airports";"2021 August";40922;8740;37282;36045;4479180;140198;1049
"Total Dutch airports";"2021 September";39712;8785;35262;34040;4013477;144584;1002
"Total Dutch airports";"2021 October";40489;6890;36465;35295;4395945;161776;1040
"Total Dutch airports";"2021 November";35131;6510;32026;31023;3492940;156617;943
"Total Dutch airports";"2021 December";36326;4327;33869;33044;3208864;153901;1038
"Total Dutch airports";"2022 January*";31964;5212;29604;28750;2831598;131588;827
"Total Dutch airports";"2022 February*";30459;5779;27456;26599;3040193;126020;824
"Total Dutch airports";"2022 March*";39107;9705;34568;33635;4241663;137570;819
"Total Dutch airports";"2022 April*";43239;7408;38824;37560;5140272;126658;688
"Total Dutch airports";"2022 May*";49637;7906;44823;42987;6091195;128112;685
"Total Dutch airports";"2022 June*";48847;9017;43248;41393;6118070;125858;667
"Total Dutch airports";"2022 July*";48364;8659;43218;41260;6211931;130029;584
"Total Dutch airports";"2022 August*";49173;9175;44862;42970;6378969;125037;549
"Total Dutch airports";"2022 September*";47989;8324;43523;41847;6108567;130738;538
"Total Dutch airports";"2022 October*";47117;7661;42909;41366;5854649;135512;465
"Total Dutch airports";"2022 November*";37876;5771;34597;33820;4570458;128395;461
"Total Dutch airports";"2022 December*";37591;4447;34968;34327;4680493;120439;608
"Total Dutch airports";"2023 January*";37038;6455;34322;33553;4480014;109114;478
"Total Dutch airports";"2023 February*";35573;6982;32416;31673;4348644;113147;440
"Total Dutch airports";"2023 March*";41983;7044;38044;37109;5276851;125407;457
"Total Dutch airports";"2023 April*";45722;7939;41609;40550;5912774;116129;430
"Total Dutch airports";"2023 May*";49828;8198;45469;44214;6514881;118281;471
"Total Dutch airports";"2023 June*";49260;8501;44638;43355;6539439;112994;447
"Total Dutch airports";"2023 July*";51665;7131;47556;45884;6991247;115703;407
"Total Dutch airports";"2023 August*";51960;8675;48111;46471;7061633;112120;454
"Amsterdam Airport Schiphol";"1999 January";30391;672;29640;28177;2372578;88159;
"Amsterdam Airport Schiphol";"1999 February";28302;550;27526;26080;2332664;94718;
"Amsterdam Airport Schiphol";"1999 March";32595;784;31473;29746;2825328;108780;
"Amsterdam Airport Schiphol";"1999 April";33069;858;32013;29834;2901478;97708;
"Amsterdam Airport Schiphol";"1999 May";35221;732;34133;30743;3263955;97092;
"Amsterdam Airport Schiphol";"1999 June";34707;828;33426;30391;3226738;92819;
"Amsterdam Airport Schiphol";"1999 July";36589;832;35529;31540;3610786;96040;
"Amsterdam Airport Schiphol";"1999 August";36485;678;35625;31518;3709274;90496;
"Amsterdam Airport Schiphol";"1999 September";35656;726;34411;31025;3467185;95374;
"Amsterdam Airport Schiphol";"1999 October";36292;620;35126;31991;3449646;107464;
"Amsterdam Airport Schiphol";"1999 November";34169;622;33182;31520;2802951;106774;
"Amsterdam Airport Schiphol";"1999 December";32288;548;31521;30014;2462530;105293;
"Amsterdam Airport Schiphol";"2000 January";33358;288;32537;31076;2490645;92023;
"Amsterdam Airport Schiphol";"2000 February";32989;304;31894;30435;2561520;99681;
"Amsterdam Airport Schiphol";"2000 March";35420;273;34263;32455;3067554;109485;
"Amsterdam Airport Schiphol";"2000 April";35030;342;33815;31347;3226951;100535;
"Amsterdam Airport Schiphol";"2000 May";37911;412;36539;32994;3546493;98759;
"Amsterdam Airport Schiphol";"2000 June";36727;308;35206;31902;3492787;96432;
"Amsterdam Airport Schiphol";"2000 July";38287;338;37108;32763;3952263;98766;
"Amsterdam Airport Schiphol";"2000 August";38300;388;37258;32876;3932072;94547;
"Amsterdam Airport Schiphol";"2000 September";36788;309;35496;31846;3720284;103074;
"Amsterdam Airport Schiphol";"2000 October";37315;253;36170;32689;3651555;110050;
"Amsterdam Airport Schiphol";"2000 November";34018;310;32902;31222;2914972;107780;
"Amsterdam Airport Schiphol";"2000 December";32546;245;31739;30042;2713514;111462;
"Amsterdam Airport Schiphol";"2001 January";33669;282;32835;31212;2703997;95384;
"Amsterdam Airport Schiphol";"2001 February";31384;259;30436;28787;2591373;99928;
"Amsterdam Airport Schiphol";"2001 March";35662;255;34529;32433;3163748;111857;
"Amsterdam Airport Schiphol";"2001 April";35132;314;34151;31674;3355137;97008;
"Amsterdam Airport Schiphol";"2001 May";38467;409;37255;33609;3613702;94515;
"Amsterdam Airport Schiphol";"2001 June";37382;277;36209;32724;3686773;93457;
"Amsterdam Airport Schiphol";"2001 July";39373;328;38386;33974;4098716;89024;
"Amsterdam Airport Schiphol";"2001 August";39329;309;38451;33987;4063517;88530;
"Amsterdam Airport Schiphol";"2001 September";37418;269;36432;32634;3551489;95066;
"Amsterdam Airport Schiphol";"2001 October";37554;316;36486;33015;3226663;105253;
"Amsterdam Airport Schiphol";"2001 November";32090;304;31059;29663;2656842;106775;
"Amsterdam Airport Schiphol";"2001 December";31022;252;30227;28902;2597484;106412;
"Amsterdam Airport Schiphol";"2002 January";31655;266;30835;29518;2572399;91162;
"Amsterdam Airport Schiphol";"2002 February";29298;260;28453;27096;2596631;95839;
"Amsterdam Airport Schiphol";"2002 March";33488;372;32365;30625;3165225;115482;
"Amsterdam Airport Schiphol";"2002 April";34175;283;33107;30678;3303145;101120;
"Amsterdam Airport Schiphol";"2002 May";36835;347;35599;32080;3698247;100253;
"Amsterdam Airport Schiphol";"2002 June";35744;355;34519;31213;3668631;103424;
"Amsterdam Airport Schiphol";"2002 July";38056;297;36973;32803;4130433;98256;
"Amsterdam Airport Schiphol";"2002 August";37560;349;36840;32546;4131400;96716;
"Amsterdam Airport Schiphol";"2002 September";36214;302;35111;31645;3864358;101489;
"Amsterdam Airport Schiphol";"2002 October";36788;269;35663;32188;3721110;109809;
"Amsterdam Airport Schiphol";"2002 November";32685;286;31670;30019;2892532;118098;
"Amsterdam Airport Schiphol";"2002 December";31046;181;30250;28678;2843451;108250;
"Amsterdam Airport Schiphol";"2003 January";31342;309;30549;29114;2747502;96585;3767
"Amsterdam Airport Schiphol";"2003 February";29540;298;28780;27311;2668775;102236;3844
"Amsterdam Airport Schiphol";"2003 March";33536;379;32562;30748;3018602;120845;4065
"Amsterdam Airport Schiphol";"2003 April";32563;322;31560;29086;3013392;104582;4290
"Amsterdam Airport Schiphol";"2003 May";34976;366;33896;30401;3393657;104029;4060
"Amsterdam Airport Schiphol";"2003 June";34593;325;33511;30261;3544233;102249;3607
"Amsterdam Airport Schiphol";"2003 July";36914;311;36036;31388;4075832;103776;3498
"Amsterdam Airport Schiphol";"2003 August";36528;391;35722;31242;4032923;105261;3459
"Amsterdam Airport Schiphol";"2003 September";35593;385;34508;31101;3734509;108069;3506
"Amsterdam Airport Schiphol";"2003 October";36245;349;35108;31512;3761285;119003;3829
"Amsterdam Airport Schiphol";"2003 November";32034;213;31054;29111;2970090;122583;4210
"Amsterdam Airport Schiphol";"2003 December";30512;256;29710;27849;2847849;116939;5470
"Amsterdam Airport Schiphol";"2004 January";30477;233;29762;28013;2741680;100298;3722
"Amsterdam Airport Schiphol";"2004 February";30155;235;29361;27538;2830639;113908;3632
"Amsterdam Airport Schiphol";"2004 March";33791;326;32726;30684;3257673;126798;3796
"Amsterdam Airport Schiphol";"2004 April";33695;368;32678;30225;3480085;115584;3428
